Group	PFAM_PROPHANE	PFAM_MANTIS	KO_MANTIS	KO_MANTIS_CONSENSUS	GP_DB1UniProt_S03	GP_DB1UniProt_S05	GP_DB1UniProt_S07	GP_DB1UniProt_S11	GP_DB1UniProt_S08	GP_DB1UniProt_S14	MPA_DB1UniProt_S03	MPA_DB1UniProt_S05	MPA_DB1UniProt_S07	MPA_DB1UniProt_S11	MPA_DB1UniProt_S08	MPA_DB1UniProt_S14	MQ_DB1UniProt_S03	MQ_DB1UniProt_S05	MQ_DB1UniProt_S07	MQ_DB1UniProt_S11	MQ_DB1UniProt_S08	MQ_DB1UniProt_S14	PD_DB1UniProt_S03	PD_DB1UniProt_S05	PD_DB1UniProt_S07	PD_DB1UniProt_S11	PD_DB1UniProt_S08	PD_DB1UniProt_S14
A0A1C7I5T0	-;	PF08323;	K00703;	K00703	53.0	57.0	10.0	55.0	19.0	16.0	44.0	55.0	7.0	50.0	11.0	6.0	22.0	22.0	16.0	47.0	14.0	14.0	55.0	59.0	11.0	66.0	26.0	15.0
A0A1C7I650	-;	PF02421;	K04759;K06398;	K04759	8.0	11.0	0.0	22.0	3.0	0.0	6.0	10.0	0.0	24.0	2.0	0.0	10.0	15.0	0.0	22.0	4.0	2.0	11.0	13.0	1.0	19.0	2.0	1.0
Q8A4N5	-;		K03665;K03564;K03386;K20011;		20.0	29.0	11.0	36.0	21.0	25.0	17.0	25.0	6.0	21.0	9.0	14.0	21.0	24.0	20.0	40.0	16.0	18.0	17.0	21.0	15.0	47.0	29.0	11.0
Q877R4	-;		K15467;K15256;K15257;K18827;K13042;K07154;K05929;K18896;K18534;K18897;K16868;K14369;K16217;K00574;K03466;K21192;K05928;K20444;K00568;K09846;K20238;K21457;		0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
Q8A4N6	-;	PF03726;	K07571;K02945;K03527;K00962;	K00962	151.0	185.0	49.0	224.0	137.0	173.0	124.0	137.0	38.0	156.0	78.0	72.0	116.0	121.0	80.0	195.0	108.0	96.0	136.0	168.0	49.0	208.0	130.0	89.0
Q8A503	-;				0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8A504	unclassified;				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P09162	-;				1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0A1C7I5S5	-;		K03655;		2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8A500	-;		K04763;	K04763	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4II60	PF02195;		K03497;	K03497	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P09169	-;				2.0	2.0	2.0	1.0	1.0	0.0	0.0	2.0	2.0	1.0	0.0	1.0	0.0	5.0	0.0	1.0	2.0	7.0	1.0	2.0	2.0	2.0	1.0	2.0
A0A1C7IG61	-;	PF07685;	K07009;		1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
P0A8M3	-;		K01880;K01881;K01868;K00876;K01889;	K01868	17.0	31.0	2.0	13.0	13.0	5.0	13.0	20.0	1.0	8.0	6.0	0.0	15.0	26.0	4.0	23.0	8.0	3.0	15.0	19.0	1.0	10.0	8.0	2.0
P0A8M0	-;		K01893;K18719;K13051;	K01893	6.0	12.0	2.0	19.0	9.0	24.0	6.0	9.0	2.0	18.0	4.0	10.0	12.0	10.0	8.0	22.0	12.0	27.0	10.0	13.0	3.0	23.0	13.0	12.0
A0A1C7IG60	-;		K02795;K11198;K02794;K11199;K02793;K11200;K02770;K02769;K02768;K11201;K11202;K11203;	K02770	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
A5A612	-;				0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4II61	PF06564;		K03496;	K03496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
P0A8A0	-;				0.0	0.0	2.0	3.0	1.0	2.0	0.0	0.0	2.0	3.0	1.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	2.0	3.0	1.0	0.0
Q8G5V0	-;	PF07730;	K02480;	K02480	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P77215	-;		K12661;	K12661	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8A4E9	-;	PF01936;			0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
P77216	-;	PF01507;			0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0A1C7I5F9	-;		K15355;K13935;K00648;K00645;K15329;K15469;K11533;K15327;	K00645	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q8A4E3	unclassified;				0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8A4E4	PF16249;				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	5.0	1.0	0.0
B0N1T1	-;		K09691;K01990;K09693;K09689;	K09691	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
P0A8A8	-;		K09748;	K09748	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0A1C7IFH5	-;		K02428;K01776;K00796;	K02428	2.0	1.0	0.0	1.0	1.0	4.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	1.0	1.0
A0A1C7IFH2	-;	PF03553;	K03315;	K03315	16.0	12.0	4.0	39.0	2.0	12.0	5.0	3.0	0.0	4.0	0.0	0.0	9.0	9.0	6.0	13.0	4.0	10.0	11.0	4.0	3.0	19.0	4.0	6.0
C4IHJ9	PF01926;		K06207;	K06207	8.0	6.0	1.0	5.0	2.0	4.0	6.0	5.0	1.0	5.0	2.0	2.0	7.0	4.0	0.0	7.0	2.0	9.0	7.0	5.0	0.0	4.0	2.0	2.0
A0A1C7IFH0	-;		K03336;	K03336	18.0	30.0	1.0	20.0	12.0	7.0	19.0	17.0	1.0	13.0	10.0	3.0	21.0	14.0	4.0	19.0	14.0	8.0	14.0	27.0	1.0	16.0	14.0	6.0
C4IHJ7	-;	PF01596;			0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P0A8A2	-;				2.0	1.0	0.0	2.0	2.0	1.0	3.0	1.0	0.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	2.0	2.0	0.0
C4IHJ6	-;	PF16325;PF01136;	K08303;	K08303	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0A1C7IFG7	-;	PF00186;	K00287;K13998;	K00287	1.0	0.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	1.0
B0N1T3	PF01832;	PF01832;PF01183;PF08481;	K07273;K23989;	K07273K23989	12.0	17.0	0.0	17.0	1.0	19.0	11.0	17.0	0.0	18.0	0.0	7.0	14.0	25.0	0.0	15.0	0.0	14.0	11.0	18.0	0.0	16.0	1.0	8.0
B0N253	PF01408;		K22230;	K22230	5.0	3.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0
B0N254	-;		K03650;K03150;K06883;	K03650	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	3.0	2.0	0.0	2.0	0.0	0.0	1.0	4.0	4.0	8.0	0.0
A0A1C7I5F3	-;		K08680;K15853;K11750;K03928;K07397;K12269;K11751;K01046;K01563;K21193;K01186;K19188;K21159;K07002;K16050;K02238;K21712;K15487;K00627;K07100;K07000;K01181;K10216;K10953;K02170;K10255;K10773;K02169;K01179;K06889;K22250;K01055;K05714;K01990;K19296;K01175;K21104;K01259;K07018;K21105;	K06889	3.0	3.0	0.0	6.0	3.0	0.0	3.0	3.0	0.0	5.0	2.0	0.0	6.0	6.0	0.0	4.0	2.0	0.0	3.0	3.0	0.0	7.0	4.0	0.0
B0N1T6	PF00877;		K13695;K13694;K01181;K19223;K19224;K19303;K17836;K14205;K21474;K19220;K21473;K01183;K21472;K21471;K21687;K01449;K11060;K01227;K01447;K03646;K20742;K21688;	K21471	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
B0N256	PF00924;	PF00924;	K05802;K03442;K22044;K07454;K16052;	K03442	2.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0
B0N258	PF01418;		K00845;K03481;K15916;K19337;K15835;	K19337	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Q8G674	-;		K03574;K01515;K03207;	K03574	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8G5V1	PF13476;		K01990;K09695;K02193;	K01990	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8G671	PF13520;	PF00324;	K16238;K16236;K16235;K03294;K03293;K11733;K20265;K02205;	K16235	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0A1C7I5F0	-;		K04516;K01626;K14170;K03856;K13853;	K03856	1.0	2.0	0.0	4.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	3.0	4.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	1.0
Q8G5V2	PF12698;	PF12698;			1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8A4D6	-;		K19127;		0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
P0A8B2	-;	PF01713;			0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8A4D7	PF17801;		K01189;K07407;K03125;K01192;K01204;	K07407	29.0	34.0	4.0	30.0	17.0	38.0	24.0	22.0	5.0	21.0	12.0	19.0	29.0	30.0	10.0	41.0	8.0	21.0	27.0	29.0	5.0	23.0	14.0	27.0
B0N1S0	-;	PF00006;PF02874;	K02114;K02112;K02133;K17982;K00700;K09499;	K02133	47.0	63.0	4.0	25.0	31.0	14.0	39.0	58.0	4.0	24.0	16.0	7.0	34.0	47.0	6.0	18.0	26.0	9.0	41.0	62.0	4.0	16.0	29.0	7.0
C4IHK0	PF12706;	PF17770;	K12574;	K12574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	1.0
Q8A4D4	-;	PF03544;	K03832;	K03832	14.0	12.0	21.0	58.0	36.0	8.0	13.0	8.0	13.0	54.0	16.0	8.0	9.0	7.0	18.0	28.0	8.0	11.0	12.0	5.0	15.0	51.0	27.0	8.0
B0N1S1	-;		K02115;	K02115	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
A0A1C7IFG5	-;		K01192;K18577;K15855;	K01192	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
E7MCA9	-;	DUF4254;PF14063;			13.0	15.0	3.0	14.0	10.0	40.0	9.0	11.0	4.0	14.0	4.0	15.0	8.0	15.0	8.0	18.0	6.0	20.0	10.0	11.0	4.0	14.0	14.0	16.0
A0A1C7IFG3	-;				0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
C4IHK3	-;	PF03652;	K07447;	K07447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8A4D1	-;		K03562;K03561;	K03561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P0A8B5	-;				0.0	0.0	2.0	4.0	0.0	2.0	1.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	0.0
A0A1C7IFG0	-;		K03335;	K03335	44.0	36.0	5.0	28.0	30.0	26.0	29.0	27.0	3.0	19.0	15.0	8.0	21.0	32.0	12.0	27.0	20.0	23.0	34.0	34.0	4.0	24.0	32.0	10.0
A0A1C7IFF8	-;		K00817;K04720;	K04720	2.0	5.0	0.0	0.0	2.0	2.0	2.0	5.0	0.0	1.0	0.0	0.0	3.0	5.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	2.0	0.0
A0A1C7IFF9	-;		K01872;K03012;K03142;K17100;K01557;K21437;		0.0	4.0	0.0	2.0	2.0	0.0	0.0	4.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	4.0	0.0	2.0	2.0	0.0
A0A1C7IFF6	-;		K07775;	K07775	1.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
B0N1S2	PF02874;	PF00006;PF00306;PF02874;	K01343;K02111;K08303;	K02111	18.0	35.0	4.0	18.0	19.0	4.0	17.0	35.0	4.0	18.0	9.0	4.0	16.0	19.0	8.0	19.0	8.0	6.0	21.0	41.0	4.0	26.0	24.0	6.0
B0N1S3	-;	PF00213;			3.0	4.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	3.0	2.0	0.0	1.0	2.0	0.0	3.0	4.0	0.0	1.0	0.0	0.0
B0N243	-;		K03698;K03628;K02887;	K03628	1.0	3.0	1.0	4.0	4.0	0.0	0.0	2.0	1.0	4.0	3.0	0.0	2.0	2.0	2.0	3.0	2.0	0.0	3.0	7.0	2.0	6.0	7.0	0.0
Q8G667	PF13310;	PF13310;	K14623;		8.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B0N1S4	PF00430;		K02109;	K02109	5.0	7.0	0.0	17.0	11.0	0.0	5.0	4.0	0.0	10.0	8.0	0.0	6.0	7.0	0.0	20.0	8.0	0.0	5.0	6.0	0.0	15.0	12.0	0.0
B0N1S5	-;		K02124;K02110;	K02110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
A0A1C7I5E0	-;		K07738;K00525;K21636;	K07738	9.0	12.0	0.0	13.0	13.0	8.0	7.0	6.0	0.0	4.0	4.0	3.0	13.0	10.0	0.0	12.0	14.0	3.0	11.0	11.0	0.0	10.0	11.0	6.0
B0N1S6	PF00119;		K02108;	K02108	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
B0N246	PF00367;	PF02378;PF00367;	K20108;K02819;K02818;K02817;K02752;K03786;K02750;K02791;K02790;K01803;K02757;K02779;K02756;K02778;K02755;K02777;K02810;K20107;K02753;K02809;K02808;K02763;K02749;K02804;K02803;K02802;K11191;K11192;K20117;K20118;K02765;K02764;K20116;	K02791	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8G662	PF11187;	PF11187;DUF2974;			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
A0A1C7I5E1	-;		K12287;K09483;K10297;K01729;K01179;K01795;K01176;K19053;K01406;K01206;K20276;K21449;K07218;		14.0	21.0	3.0	29.0	16.0	6.0	12.0	18.0	3.0	23.0	15.0	6.0	15.0	17.0	6.0	39.0	10.0	2.0	15.0	24.0	3.0	31.0	13.0	6.0
Q8G663	-;		K09681;	K09681	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B0N1S8	PF13641;		K20444;	K20444	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B0N1S9	-;		K20444;	K20444	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
E7MCB0	PF13568;	PF13505;			191.0	281.0	45.0	375.0	103.0	101.0	179.0	271.0	36.0	338.0	58.0	61.0	71.0	98.0	58.0	156.0	44.0	34.0	164.0	242.0	43.0	309.0	73.0	55.0
Q8G5U1	-;	PF00300;			0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8A4C7	-;	PF13505;			24.0	15.0	6.0	45.0	0.0	20.0	22.0	17.0	7.0	42.0	0.0	7.0	13.0	10.0	8.0	41.0	0.0	10.0	21.0	15.0	4.0	44.0	0.0	9.0
Q8A4C8	-;				1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q8A4C3	PF02836;		K01195;K01190;K17592;K01755;	K01190	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
B0N230	-;	PF00204;PF00986;	K02470;	K02470	1.0	4.0	0.0	2.0	1.0	0.0	1.0	4.0	0.0	1.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	4.0	0.0	0.0
Q8A4C4	-;		K19265;	K19265	2.0	4.0	1.0	3.0	4.0	7.0	1.0	4.0	1.0	4.0	4.0	2.0	3.0	2.0	0.0	7.0	2.0	6.0	2.0	3.0	0.0	3.0	5.0	1.0
A0A1C7IFJ9	-;	PF13597;			13.0	15.0	2.0	16.0	6.0	3.0	12.0	12.0	1.0	11.0	2.0	2.0	13.0	17.0	6.0	15.0	8.0	0.0	12.0	16.0	1.0	12.0	6.0	2.0
A0A1C7IFJ6	-;	PF02653;PF00532;PF00005;	K10541;	K10541	18.0	21.0	7.0	57.0	12.0	2.0	6.0	8.0	3.0	39.0	8.0	1.0	8.0	9.0	12.0	49.0	14.0	2.0	15.0	23.0	5.0	50.0	12.0	1.0
C4IHH0	-;		K04096;		0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8A4C0	-;		K12583;K15531;K20306;K01728;K11751;K05349;K07407;K01066;K01187;K00077;K01186;K18197;K01183;K10804;K18650;K00612;K07004;K01126;K01181;K15923;K01179;K19172;K01051;K01073;K06882;K05970;K20276;K01218;K07114;K01732;K01730;K00983;K01137;		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
P77239	-;	PF11604;PF00873;	K07798;	K07798	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0A1C7IFJ5	-;		K00760;K16139;K15045;K00945;K01812;	K00945	8.0	12.0	4.0	19.0	6.0	2.0	8.0	8.0	3.0	10.0	4.0	1.0	10.0	10.0	8.0	22.0	6.0	0.0	8.0	7.0	4.0	21.0	6.0	1.0
E7MCA2	-;				29.0	31.0	7.0	16.0	9.0	8.0	27.0	22.0	7.0	15.0	0.0	4.0	12.0	13.0	12.0	14.0	10.0	6.0	26.0	30.0	6.0	15.0	9.0	4.0
A0A1C7I5H0	-;		K10117;	K10117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	2.0
E7MCA4	-;	DUF4295;PF14128;			10.0	19.0	8.0	23.0	16.0	4.0	9.0	14.0	4.0	19.0	7.0	1.0	11.0	16.0	18.0	14.0	10.0	4.0	12.0	20.0	8.0	23.0	18.0	1.0
E7MCA3	-;				0.0	2.0	0.0	5.0	4.0	2.0	0.0	1.0	0.0	3.0	4.0	1.0	0.0	2.0	0.0	3.0	4.0	3.0	0.0	1.0	0.0	3.0	4.0	1.0
E7MCA6	-;				3.0	2.0	4.0	10.0	8.0	6.0	2.0	1.0	3.0	7.0	6.0	6.0	1.0	3.0	6.0	10.0	10.0	2.0	2.0	1.0	4.0	11.0	7.0	6.0
E7MCA5	-;				14.0	28.0	3.0	11.0	21.0	7.0	10.0	17.0	3.0	11.0	16.0	5.0	14.0	18.0	10.0	15.0	22.0	9.0	12.0	18.0	3.0	10.0	22.0	7.0
E7MCA8	unclassified;				0.0	0.0	0.0	5.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0
E7MCA7	-;	PF01165;	K02970;	K02970	15.0	18.0	8.0	37.0	25.0	3.0	15.0	9.0	6.0	18.0	26.0	2.0	13.0	11.0	12.0	22.0	22.0	6.0	13.0	17.0	8.0	33.0	25.0	3.0
B0N231	-;		K12287;K19171;K03629;K03529;K07459;	K03629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Q8G5T5	PF01636;		K00870;K12132;K02035;K04043;K08884;	K08884	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B0N1R2	-;				0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	2.0	2.0	2.0	1.0	4.0	3.0	1.0	1.0	4.0	0.0
B0N232	-;		K14761;	K14761	2.0	4.0	0.0	1.0	1.0	0.0	2.0	2.0	0.0	1.0	1.0	0.0	3.0	3.0	0.0	1.0	2.0	0.0	2.0	2.0	0.0	1.0	1.0	0.0
B0N233	-;	PF02768;PF02767;PF00712;	K03610;K02338;	K02338	10.0	18.0	0.0	7.0	7.0	0.0	10.0	16.0	0.0	5.0	2.0	1.0	15.0	23.0	0.0	5.0	8.0	0.0	10.0	17.0	0.0	7.0	8.0	1.0
Q8G653	-;		K01442;	K01442	1.0	1.0	0.0	0.0	3.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	1.0	2.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0
B0N1R4	-;		K13746;	K13746	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B0N234	-;		K10763;K02313;	K02313	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
